0	김치볶음밥	330	550	51.9	45.9	17.6	30.3	9.3	1549.8
1	떡볶이	180	260	46.7	7.9	6.3	5.3	1.9	703.12
2	라면	550	450	75.1	0	9.5	12.5	5.5	1559.21
3	만두	220	397	39.8	0	19	18	8.3	800.92
4	미역국	650	151	7.7	0	18.1	5.3	8.4	1908.91
5	배추김치	40	10	1.3	0.9	0.7	0.3	0.8	123.03
6	삼겹살	200	933	0.7	0	45.1	83.4	1.4	1152.79
7	시금치나물	50	34	1.7	0	1.9	2.2	1	68.12
8	잡곡밥	200	292	58.6	0.6	10.6	1.7	12.2	5.29
9	잡채	200	291	48.5	1.4	9.4	6.6	7.3	719.68
10	훈제오리	200	291	48.5	1.4	9.4	6.6	7.3	719.68
11	갈비구이	300	881	10.4	14.4	84.7	55.6	4.6	2211.65
12	갈치구이	200	275	1.2	0	43.1	11	13.4	594.47
13	고등어구이	200	551	0.4	0.4	47.7	40	2	1210
14	곱창구이	150	275	7.1	1.7	22.3	17.6	3.2	1971.87
15	닭갈비	400	595.61	44.9	21.2	45.9	25.8	11.6	1535.83
16	떡갈비	200	403	4.9	0.8	42.8	23.6	2.1	807.59
17	불고기	150	395.29	7.8	7.9	34.4	25.2	1.2	560.71
18	장어구이	150	433.352	8.804	4.182	30.771	30.561	1.31	704.637
19	조개구이	180	234	18.8	6.5	31.4	3.7	7.1	817.83
20	더덕구이	100	184	31.1	11.6	3.1	5.2	6.8	743.37
21	김치찌개	400	243.032	11.929	3.025	15.069	15.005	8.417	1962.142
22	된장찌개	200	91	8.9	0	6.8	3.3	3.2	635.98
23	순두부찌개	200	85	2.6	1.2	9.1	4.3	2.1	426.64
24	갈비탕	670	363	2.7	0.8	57	13.8	12.4	1330.59
25	감자탕	530	375	12	0	33.4	21.5	12.5	1739.85
26	곰탕/설렁탕	300	183.25	18.1	0.5	19.4	3.7	2.2	716.36
27	매운탕	600	419.793	9.133	1.421	58.417	16.621	4.3	1799.022
28	삼계탕	900	911	34.6	4	96.1	43.2	14.4	736.67
29	추어탕	1000	316.72	26.8	0	22.7	13.2	18.5	2635.78
30	계란국	300	80	2	0	6	4.8	0	420
31	떡국/만두국	700	588	114.6	0.6	24	3.7	5.9	1234.05
32	무국	500	50	5	6	4	1.3	0	1320
33	육개장	600	180	13	0	16	7	0	2380
34	콩나물국	400	24	2.4	0.7	2.9	0.3	1.6	874.4
35	양념치킨	100	0	22	14	17	16	0	406
36	후라이드치킨	200	530	21.3	0	35.5	33.7	0.8	386.81
37	피자	256	626	79.0016	12.4672	27.6224	22.4	0	954.7008
38	새우튀김	150	430	28.4	0.1	25.5	23.8	3.1	728.56
39	고추튀김	100	202	14.6	2.3	7.6	12.6	2.2	249.15
40	보쌈	100	209	11	6	12	13	0	629
41	간장게장	250	155	15.1	10.5	17.6	2.8	2.7	2722.89
42	양념게장	200	193	25.2	17.5	20.4	1.2	9.4	1608.01
43	깻잎장아찌	20	20	3.1	0.7	0.4	0.7	0.6	317.18
44	달걀프라이	60	124	3.1	0	9.4	8.3	5	96.71
45	김밥	230	322	46	0	11.1	10.5	3.1	705.16
46	비빔밥	450	637	84.8	0.2	30.9	19.4	9	1041.85
47	누룽지	100	393	86.8	0	6.8	0.2	4.5	6
48	알밥	330	422	52	7.6	15.6	16.9	11.5	1418.08
49	유부초밥	182	480	50	10	8	11	0	660
